,Load_2023
2023-01-09 00:00:00+01:00,44454.0
2023-01-09 01:00:00+01:00,42731.0
2023-01-09 02:00:00+01:00,41843.3
2023-01-09 03:00:00+01:00,41224.7
2023-01-09 04:00:00+01:00,42344.0
2023-01-09 05:00:00+01:00,45650.3
2023-01-09 06:00:00+01:00,51870.0
2023-01-09 07:00:00+01:00,57485.0
2023-01-09 08:00:00+01:00,60863.0
2023-01-09 09:00:00+01:00,61669.7
2023-01-09 10:00:00+01:00,62683.7
2023-01-09 11:00:00+01:00,63289.0
2023-01-09 12:00:00+01:00,63029.3
2023-01-09 13:00:00+01:00,62170.0
2023-01-09 14:00:00+01:00,60939.0
2023-01-09 15:00:00+01:00,60254.0
2023-01-09 16:00:00+01:00,61262.7
2023-01-09 17:00:00+01:00,64659.0
2023-01-09 18:00:00+01:00,65069.3
2023-01-09 19:00:00+01:00,63388.0
2023-01-09 20:00:00+01:00,58909.3
2023-01-09 21:00:00+01:00,56716.0
2023-01-09 22:00:00+01:00,55130.0
2023-01-09 23:00:00+01:00,50759.0
