,Load_2025
2025-01-10 00:00:00+01:00,51259.0
2025-01-10 01:00:00+01:00,49688.7
2025-01-10 02:00:00+01:00,48372.0
2025-01-10 03:00:00+01:00,48576.3
2025-01-10 04:00:00+01:00,49417.0
2025-01-10 05:00:00+01:00,51522.3
2025-01-10 06:00:00+01:00,57677.3
2025-01-10 07:00:00+01:00,63700.7
2025-01-10 08:00:00+01:00,66772.3
2025-01-10 09:00:00+01:00,66802.3
2025-01-10 10:00:00+01:00,66948.3
2025-01-10 11:00:00+01:00,67512.3
2025-01-10 12:00:00+01:00,67311.7
2025-01-10 13:00:00+01:00,66638.7
2025-01-10 14:00:00+01:00,65235.3
2025-01-10 15:00:00+01:00,65058.7
2025-01-10 16:00:00+01:00,65602.3
2025-01-10 17:00:00+01:00,68744.3
2025-01-10 18:00:00+01:00,68043.3
2025-01-10 19:00:00+01:00,65745.0
2025-01-10 20:00:00+01:00,62003.3
2025-01-10 21:00:00+01:00,59440.3
2025-01-10 22:00:00+01:00,57006.3
2025-01-10 23:00:00+01:00,53375.3
